model,parameter,macro_avg_f1-score,weighted_avg_f1-score
svc,"(1.0, 'poly', 5, 0.35, 0.0)",0.3998762171684265,0.7422168590871577
svc,"(1.0, 'poly', 5, 0.35, 0.5)",0.381114707040876,0.7351392915203765
svc,"(1.0, 'poly', 5, 0.35, -0.5)",0.3865051943146708,0.7372529431104945
svc,"(0.5, 'rbf', 3, 0.2, 0)",0.38428446303849406,0.7574338978337994
svc,"(0.75, 'rbf', 3, 0.15, 0)",0.3821248568790163,0.7557615293051462
svc,"(1.5, 'poly', 2, 'auto', -0.5)",0.3760257544069703,0.7459304292895094
svc,"(1.5, 'poly', 2, 'auto', 0.0)",0.3763133381675816,0.7467354241414631
svc,"(1.5, 'poly', 2, 'auto', 0.5)",0.3748014845415616,0.7450760107278752
svc,"(1.0, 'sigmoid', 3, 0.2, 0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'poly', 5, 0.15, -0.5)",0.4033679059420383,0.7468861786982713
svc,"(1.0, 'poly', 5, 0.15, 0.0)",0.39626103913198807,0.7435590836411711
svc,"(1.0, 'poly', 5, 0.15, 0.5)",0.40011734038822355,0.745695218110358
svc,"(1.0, 'sigmoid', 3, 0.2, -0.5)",0.23719862181489534,0.6561237651288766
svc,"(1.0, 'sigmoid', 3, 0.2, 0.0)",0.23719862181489534,0.6561237651288766
svc,"(0.5, 'rbf', 3, 'scale', 0)",0.3847719888848658,0.7578731233321141
svc,"(1.5, 'poly', 5, 'scale', 0.0)",0.3968527996548608,0.7439185719110964
svc,"(0.75, 'poly', 2, 'auto', -0.5)",0.3644947386234804,0.7383236635516575
svc,"(0.75, 'poly', 2, 'auto', 0.0)",0.36304050220280104,0.7371531613037214
svc,"(0.75, 'poly', 2, 'auto', 0.5)",0.36291749964050324,0.73815925128083
svc,"(1.5, 'poly', 5, 'scale', -0.5)",0.3921938535016462,0.7388366198743809
svc,"(0.5, 'poly', 4, 0.35, 0.0)",0.4000866468948613,0.7423692724583293
svc,"(0.5, 'poly', 4, 0.35, -0.5)",0.3938300087066957,0.7424166484963278
svc,"(0.5, 'poly', 4, 0.35, 0.5)",0.3983467662583654,0.743216146281421
svc,"(1.5, 'poly', 5, 'scale', 0.5)",0.40019065123337966,0.7463163824335942
svc,"(0.5, 'poly', 2, 0.25, 0.5)",0.38559519503321676,0.7462804979313737
svc,"(0.5, 'poly', 2, 0.25, -0.5)",0.38559519503321676,0.7462804979313737
svc,"(0.5, 'poly', 2, 0.25, 0.0)",0.38559519503321676,0.7462804979313737
svc,"(1.25, 'poly', 1, 0.25, 0.0)",0.3786458831370598,0.7529617890586091
svc,"(1.25, 'poly', 1, 0.25, 0.5)",0.3786458831370598,0.7529617890586091
svc,"(1.25, 'poly', 1, 0.25, -0.5)",0.3786458831370598,0.7529617890586091
